City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,malumfashi,11.7853,7.6218,292.7,11,0,4.34,NG,1676075643
196,ust-nera,64.5667,143.2,236.68,92,91,1.12,RU,1676075546
197,hafizabad,32.0679,73.6854,282.74,41,85,2.72,PK,1676075645
198,payson,40.0444,-111.7321,278.87,46,0,2.57,US,1676075354
199,diamantino,-14.4086,-56.4461,297.19,88,50,0.38,BR,1676075646
200,nikolskoye,59.7035,30.7861,271.37,88,100,4.18,RU,1676075647
201,takahashi,34.7833,133.6167,282.29,76,64,1.28,JP,1676075647
202,port hardy,50.6996,-127.4199,279.25,93,75,2.57,CA,1676075648
203,san jeronimo,-11.9472,-75.2829,285.01,82,100,1.67,PE,1676075649
204,novodolinskiy,49.705,72.7047,253.47,93,67,4.02,KZ,1676075649
205,muros,42.7762,-9.0603,277.5,86,0,3.22,ES,1676075650
206,kurayoshi,35.4333,133.8167,279.1,73,84,2.79,JP,1676075651
207,cabral,18.25,-71.2167,299.07,78,75,5.14,DO,1676075651
208,lasa,46.6166,10.7002,273.64,48,100,2.16,IT,1676075652
209,port macquarie,-31.4333,152.9167,300.87,59,4,2.03,AU,1676075396
210,klichka,50.4457,117.996,250.79,99,66,1.34,RU,1676075653
211,half moon bay,37.4636,-122.4286,287.61,76,100,9.77,US,1676075443
212,sorland,67.667,12.6934,273.07,61,100,9.99,NO,1676075653
213,voh,-20.9667,164.7,300.92,74,70,6.89,NC,1676075654
214,broome,42.2506,-75.833,277.37,82,100,3.6,US,1676075655
215,saskylakh,71.9167,114.0833,229.81,98,57,3.26,RU,1676075656
216,chara,56.9064,118.2631,252.21,82,96,0.49,RU,1676075656
217,barcelos,41.5388,-8.6151,283.06,62,0,2.88,PT,1676075657
218,krasnaya zarya,52.7825,37.6806,269.19,82,100,5.63,RU,1676075658
219,sembakung,3.8167,117.25,298.76,89,100,0.93,ID,1676075658
220,faanui,-16.4833,-151.75,301.22,69,10,5.11,PF,1676075659
221,vangaindrano,-23.35,47.6,295.18,94,5,2.38,MG,1676075660
222,vila velha,-20.3297,-40.2925,299.23,89,75,4.63,BR,1676075661
223,dongsheng,39.8161,109.9776,269.27,96,100,3.12,CN,1676075662
224,junction city,39.0286,-96.8314,276.79,31,0,0.0,US,1676075513
225,wexford,52.3342,-6.4575,282.53,82,93,2.24,IE,1676075600
226,mahanje,-9.9333,35.3333,290.81,95,99,1.51,TZ,1676075663
227,wenatchee,47.4235,-120.3103,283.36,67,0,0.0,US,1676075664
228,champerico,14.3,-91.9167,299.53,74,0,2.82,GT,1676075664
229,bathsheba,13.2167,-59.5167,298.49,73,75,8.75,BB,1676075665
230,marquette,46.5333,-87.6335,264.84,76,22,2.3,US,1676075666
231,vila franca do campo,37.7167,-25.4333,287.38,91,25,1.64,PT,1676075667
232,kaitangata,-46.2817,169.8464,290.3,62,57,5.13,NZ,1676075667
233,zapolyarnyy,69.4154,30.8136,260.75,90,68,2.83,RU,1676075668
234,sampit,-2.5333,112.95,299.46,87,96,1.09,ID,1676075668
235,portland,45.5234,-122.6762,286.48,74,20,4.63,US,1676075507
236,talaya,61.3833,152.75,243.21,90,100,1.87,RU,1676075669
237,high level,58.5169,-117.136,263.21,92,100,2.57,CA,1676075409
238,bilibino,68.0546,166.4372,234.03,96,96,0.14,RU,1676075670
239,chaoyang,41.5703,120.4586,275.16,66,31,3.31,CN,1676075670
240,beaverlodge,55.2166,-119.4361,276.79,66,100,8.26,CA,1676075671
241,manado,1.487,124.8455,300.58,83,40,1.54,ID,1676075671
242,ibra,22.6906,58.5334,290.67,62,0,0.37,OM,1676075672
243,mirabad,30.4362,61.8383,276.85,56,21,7.19,AF,1676075673
244,longyearbyen,78.2186,15.6401,267.06,86,75,5.14,SJ,1676075673
245,ugoofaaru,5.6667,73.0,299.67,76,45,2.57,MV,1676075674
246,havoysund,70.9963,24.6622,272.28,77,100,12.96,NO,1676075455
247,souillac,-20.5167,57.5167,297.75,78,0,4.27,MU,1676075553
248,luanda,-8.8368,13.2343,299.15,80,0,3.09,AO,1676075675
249,nizhnevartovsk,60.9344,76.5531,258.16,78,0,5.0,RU,1676075676
250,ilulissat,69.2167,-51.1,249.16,77,100,3.09,GL,1676075677
251,camana,-16.6228,-72.7111,296.98,83,89,3.07,PE,1676075677
252,auki,-8.7676,160.7034,303.29,63,93,1.97,SB,1676075593
253,bandipur,27.9333,84.4167,281.27,58,0,1.29,NP,1676075678
254,kiama,-34.6833,150.8667,304.96,68,6,3.13,AU,1676075632
255,mar del plata,-38.0023,-57.5575,297.16,94,22,4.12,AR,1676075679
256,nyaunglebin,17.95,96.7333,291.93,41,0,0.31,MM,1676075679
257,moindou,-21.6924,165.677,300.83,73,26,11.85,NC,1676075680
258,belmonte,-15.8631,-38.8828,298.52,88,0,3.8,BR,1676075681
259,manzhouli,49.6,117.4333,253.7,98,69,2.49,CN,1676075681
